dam_nm,obsrvt_nm,msmt_tm,rain_qy,acml_rain_qy
홍수통제소,남양주시(진관교),2020051023,0,178
홍수통제소,서울시(대곡교),2020051023,0,159
홍수통제소,안양시(충훈1교),2020051023,0,145
홍수통제소,서울시(구로구청),2020051023,0,157
홍수통제소,김포시(김포시청),2020051023,0,166
지자체(군포),대야도서관(군포),2020051023,0,0
지자체(의왕),부곡동(의왕),2020051023,0,0
경인아라뱃길,인천시(귤현보),2020051023,0,75
경인아라뱃길,인천시(아라인천터미널),2020051023,0,107.5
경인아라뱃길,김포시(아라김포터미널),2020051023,0,99.5
홍수통제소,포천시(내촌면사무소),2020051023,0,158
한탄강,정연,2020051023,0,152
한탄강,관인(임진강),2020051023,0,188
한탄강,서면(임진),2020051023,0,227
한탄강,청양(임진),2020051023,0,208
한탄강,오덕,2020051023,0,259
홍수통제소,평택시(진위면사무소),2020051023,0,174
홍수통제소,안성시(안성시청),2020051023,0,197
홍수통제소,용인시(원삼중교),2020051023,0,220
홍수통제소,화성시(양감119지역대),2020051023,0,154
홍수통제소,천안시(대홍초교),2020051023,0,164
홍수통제소,평택시(회화리),2020051023,0,156
홍수통제소,용인시(역삼동주민센터),2020051023,0,224
홍수통제소,용인시(이동면사무소),2020051023,0,197
홍수통제소,안성시(삼암리),2020051023,0,177
홍수통제소,안성시(안성서운중교),2020051023,0,173
홍수통제소,천안시(성거읍사무소),2020051023,0,179
홍수통제소,평택시(군문교),2020051023,0,161
홍수통제소,화성시(수원대학교),2020051023,0,192
홍수통제소,용인시(신갈저수지),2020051023,0,164
지자체(화성),진안동(화성),2020051023,0,0
지자체(화성),양감면(화성),2020051023,0,0
지자체(화성),정남면(화성),2020051023,0,0
지자체(화성),동탄면(화성),2020051023,0,0
지자체(화성),기배동(화성),2020051023,0,0
지자체(화성),반월동(화성),2020051023,0,0
지자체(화성),동탄2동(화성),2020051023,0,0
지자체(수원),경기도청(수원),2020051023,0,0
지자체(용인),기흥구청(용인),2020051023,0,0
지자체(용인),공세동(용인),2020051023,0,0
지자체(평택),서탄면(평택),2020051023,0,0
지자체(평택),신장동(평택),2020051023,0,0
지자체(평택),진위면(평택),2020051023,0,0
지자체(용인),남사면(용인),2020051023,0,0
홍수통제소,안산시(안산호동초교),2020051023,0,139
홍수통제소,안산시(장상동),2020051023,0,154
지자체(화성),봉담읍(화성),2020051023,0,0
지자체(화성),향남읍(화성),2020051023,0,0
지자체(화성),매송면(화성),2020051023,0,0
지자체(화성),비봉면(화성),2020051023,0,0
지자체(화성),마도면(화성),2020051023,0,0
지자체(화성),송산면(화성),2020051023,0,0
지자체(화성),서신면(화성),2020051023,0,0
지자체(화성),팔탄면(화성),2020051023,0,0
지자체(화성),장안면(화성),2020051023,0,0
지자체(화성),남양읍(화성),2020051023,0,0
지자체(화성),우정읍(화성),2020051023,0,0
시화조력,안산시(시화조력),2020051023,0,26.5
홍수통제소,양양군(갈천리),2020051023,0,388
홍수통제소,강릉시(소금강분소),2020051023,0,398
홍수통제소,삼척시(심포초교),2020051023,0,254
안동,봉화군(갈산리),2020051023,0,221
홍수통제소,봉화군(재산면사무소),2020051023,0,216
홍수통제소,태백시(태백시청),2020051023,0,274
홍수통제소,봉화군(석포초교),2020051023,0,252
홍수통제소,봉화군(분천리),2020051023,0,230
홍수통제소,봉화군(풍호리),2020051023,0,188
홍수통제소,봉화군(애당리),2020051023,0,211
홍수통제소,안동시(월곡초교),2020051023,0,191
안동,안동시(기사리),2020051023,0,190
안동,봉화군(대현리),2020051023,0,268
안동,안동시(의촌리),2020051023,0,189
안동,태백시(문곡동),2020051023,0,269
안동,울진군(전곡리),2020051023,0,240
안동,봉화군(관창리),2020051023,0,225
안동,봉화군(서동리),2020051023,0,203
홍수통제소,태백시(소도동),2020051023,0,141
안동,봉화군(고선리),2020051023,0,212
지자체(봉화),명호면(봉화),2020051023,0,213
지자체(봉화),법전면(봉화),2020051023,0,189
지자체(봉화),석포면(봉화),2020051023,0,204
지자체(봉화),소천면(봉화),2020051023,0,188.5
지자체(봉화),재산면(봉화),2020051023,0,200
지자체(봉화),춘양면(봉화),2020051023,0,206.5
지자체(봉화),넛재(봉화),2020051023,0,252
지자체(봉화),도래기재(봉화),2020051023,0,252
지자체(봉화),도화동(봉화),2020051023,0,275
지자체(봉화),드르네(봉화),2020051023,0,249
지자체(봉화),일월산상(봉화),2020051023,0,0
지자체(봉화),일월산하(봉화),2020051023,0,252
지자체(봉화),주실령재(봉화),2020051023,0,137
지자체(봉화),참새골(봉화),2020051023,0,265
지자체(봉화),청량산(봉화),2020051023,0,239
홍수통제소,청송군(현서면사무소),2020051023,0,203
홍수통제소,안동시(묵계교),2020051023,0,222
홍수통제소,안동시(석동동),2020051023,0,166
홍수통제소,안동시(중평리),2020051023,0,189
임하,영양군(현리),2020051023,0,231
임하,영양군(답곡리),2020051023,0,234
임하,청송군(대전리),2020051023,0,241
임하,청송군(덕리),2020051023,0,225
임하,영양군(도곡리),2020051023,0,238
홍수통제소,청송군(도평리),2020051023,0,225
성덕,청송군(성재리),2020051023,0,248
성덕,청송군(갈천리),2020051023,0,256
성덕,청송군(무계리),2020051023,0,294
지자체(영양),입암면(영양),2020051023,0,146
지자체(영양),일월면(영양),2020051023,0,170
지자체(영양),석보면(영양),2020051023,0,213
지자체(영양),청기면(영양),2020051023,0,216
지자체(영양),영양읍(영양),2020051023,0,147
지자체(영양),당리보건지소(영양),2020051023,0,223
지자체(영양),삼의계곡(영양),2020051023,0,314
홍수통제소,안동시(당북동),2020051023,0,176
홍수통제소,의성군(풍지교),2020051023,0,189
홍수통제소,안동시(원호리),2020051023,0,176
홍수통제소,안동시(귀미리),2020051023,0,191
홍수통제소,안동시(만운리),2020051023,0,186
홍수통제소,영주시(영광여고),2020051023,0,195
홍수통제소,영주시(부석중고교),2020051023,0,182
홍수통제소,문경시(동로면사무소),2020051023,0,222
홍수통제소,영주시(수철리),2020051023,0,222
홍수통제소,예천군(두천리),2020051023,0,214
홍수통제소,봉화군(봉화대교),2020051023,0,177
홍수통제소,영주시(성내리),2020051023,0,215
홍수통제소,예천군(은풍면사무소),2020051023,0,159
영주,봉화군(적덕리),2020051023,0,208
영주,봉화군(운계리),2020051023,0,173
영주,영주시(영주댐),2020051023,0,220
지자체(봉화),물야면(봉화),2020051023,0,184
